Replicate Algorithm Instance Group Result
1 6 116 24 661.43
1 6 117 24 756.072
1 6 118 24 820.415
1 6 119 24 868.939
1 6 120 24 875.395
1 6 121 25 921.853
1 6 122 25 944.005
1 6 123 25 984.136
1 6 124 25 1090.25
1 6 125 25 1168.84
1 6 126 26 807.092
1 6 127 26 781.52
1 6 128 26 1160.84
1 6 129 26 1276.13
1 6 130 26 1065.17
1 6 131 27 929.237
1 6 132 27 917.296
1 6 133 27 972.499
1 6 134 27 1052.1
1 6 135 27 1220.69
1 6 136 28 1010.42
1 6 137 28 1234.6
1 6 138 28 1277.11
1 6 139 28 1524.43
1 6 140 28 1864.94
1 6 141 29 1115.8
1 6 142 29 1349.81
1 6 143 29 1467.38
1 6 144 29 1497.32
1 6 145 29 1866.3
1 6 146 30 1109.79
1 6 147 30 1215.86
1 6 148 30 1375.25
1 6 149 30 1415.24
1 6 150 30 1438.87
1 6 151 31 1338.16
1 6 152 31 1511.22
1 6 153 31 1601.5
1 6 154 31 1995.28
1 6 155 31 1955.64
1 6 156 32 1288.8
1 6 157 32 1478.84
1 6 158 32 1603.22
1 6 159 32 1859.67
1 6 160 32 2017.62
1 6 161 33 1299.37
1 6 162 33 1403.59
1 6 163 33 1641.01
1 6 164 33 1806.15
1 6 165 33 1938.82
1 6 166 34 614.528
1 6 167 34 698.551
1 6 168 34 762.979
1 6 169 34 883.212
1 6 170 34 1001.65
1 6 171 35 765.319
1 6 172 35 892.792
1 6 173 35 1023.46
1 6 174 35 1018.59
1 6 175 35 1267.33
1 6 176 36 681.366
1 6 177 36 811.854
1 6 178 36 1012.5
1 6 179 36 1074.71
1 6 180 36 1304.43
1 7 1 1 260.56
1 7 2 1 260.56
1 7 3 1 260.56
1 7 4 1 287.762
1 7 5 1 287.011
1 7 6 2 247.302
1 7 7 2 247.302
1 7 8 2 238.225
1 7 9 2 299.925
1 7 10 2 294.934
1 7 11 3 305.878
1 7 12 3 305.878
1 7 13 3 340.505
1 7 14 3 343.527
1 7 15 3 356.214
1 7 16 4 305.878
1 7 17 4 305.878
1 7 18 4 373.097
1 7 19 4 343.527
1 7 20 4 366.044
1 7 21 5 312.089
1 7 22 5 312.089
1 7 23 5 391.764
1 7 24 5 427.081
1 7 25 5 403.299
1 7 26 6 312.089
1 7 27 6 369.466
1 7 28 6 377.287
1 7 29 6 400.994
1 7 30 6 409.355
1 7 31 7 507.995
1 7 32 7 576.854
1 7 33 7 617.118
1 7 34 7 592.509
1 7 35 7 608.487
1 7 36 8 507.995
1 7 37 8 507.995
1 7 38 8 608.963
1 7 39 8 616.957
1 7 40 8 687.052
1 7 41 9 383.982
1 7 42 9 439.211
1 7 43 9 437.954
1 7 44 9 437.954
1 7 45 9 351.898
1 7 46 10 443.008
1 7 47 10 570.833
1 7 48 10 523.214
1 7 49 10 680.66
1 7 50 10 670.52
1 7 51 11 443.008
1 7 52 11 513.859
1 7 53 11 629.498
1 7 54 11 736.376
1 7 55 11 644.524
1 7 56 12 349.852
1 7 57 12 413.204
1 7 58 12 474.326
